,_c0,INSTRUMENT,SYMBOL,EXPIRY_DT,OPTION_TYP,CLOSE,OPEN_INT,CHG_IN_OI,prev_close,prev_open_int
138,138,FUTSTK,GODREJPROP,25-Jul-2024,XX,3297.4,3259575,37125,3316.05,3222450
139,139,FUTSTK,DABUR,25-Jul-2024,XX,627.6,17548750,-38750,631.8,17587500
140,140,FUTSTK,MARICO,25-Jul-2024,XX,645.75,13461600,-176400,647.5,13638000
141,141,FUTSTK,DIXON,25-Jul-2024,XX,12672.55,1882800,42500,12468.5,1840300
142,142,FUTSTK,LALPATHLAB,25-Jul-2024,XX,2949.3,1128000,-17700,2961.05,1145700
143,143,FUTSTK,MARUTI,25-Jul-2024,XX,12737.45,2975900,-46400,12797.75,3022300
144,144,FUTSTK,NESTLEIND,25-Jul-2024,XX,2586.65,6167800,74800,2616.0,6093000
145,145,FUTSTK,COALINDIA,25-Jul-2024,XX,502.35,51258900,409500,492.15,50849400
146,146,FUTSTK,HEROMOTOCO,25-Jul-2024,XX,5551.1,3883200,-58500,5526.35,3941700
147,147,FUTSTK,AXISBANK,25-Jul-2024,XX,1295.65,42468750,350625,1291.85,42118125
148,148,FUTSTK,VOLTAS,25-Jul-2024,XX,1514.85,8248200,-275400,1488.6,8523600
149,149,FUTSTK,INDHOTEL,25-Jul-2024,XX,603.7,20897000,286000,612.25,20611000
150,150,FUTSTK,BATAINDIA,25-Jul-2024,XX,1535.8,3456375,-56250,1542.35,3512625
151,151,FUTSTK,SUNTV,25-Jul-2024,XX,812.85,6619500,1180500,782.9,5439000
152,152,FUTSTK,ALKEM,25-Jul-2024,XX,5221.75,1364100,30300,5250.15,1333800
153,153,FUTSTK,IDFC,25-Jul-2024,XX,116.67,103775000,-580000,116.35,104355000
154,154,FUTSTK,GLENMARK,25-Jul-2024,XX,1385.2,6148000,-1370975,1382.45,7518975
155,155,FUTSTK,HINDUNILVR,25-Jul-2024,XX,2613.9,18025500,75300,2616.6,17950200
156,156,FUTSTK,RBLBANK,25-Jul-2024,XX,245.1,55580000,-1860000,244.0,57440000
157,157,FUTSTK,HINDCOPPER,25-Jul-2024,XX,335.3,33978300,543250,335.4,33435050
158,158,FUTSTK,AMBUJACEM,25-Jul-2024,XX,680.2,32770800,-111600,667.6,32882400
159,159,FUTSTK,ONGC,25-Jul-2024,XX,305.3,86788625,2244550,299.0,84544075
160,160,FUTSTK,RECLTD,25-Jul-2024,XX,647.7,50204000,932000,632.65,49272000
161,161,FUTSTK,JUBLFOOD,25-Jul-2024,XX,575.45,19465000,-156250,578.25,19621250
162,162,FUTSTK,METROPOLIS,25-Jul-2024,XX,2065.2,1462000,-16400,2063.35,1478400
163,163,FUTSTK,TECHM,25-Jul-2024,XX,1468.0,16870200,227400,1467.3,16642800
164,164,FUTSTK,ABBOTINDIA,25-Jul-2024,XX,27450.9,154120,-980,27781.9,155100
165,165,FUTSTK,TORNTPHARM,25-Jul-2024,XX,2959.35,1202500,-28250,2956.3,1230750
166,166,FUTSTK,INDUSINDBK,25-Jul-2024,XX,1435.85,28841000,-49500,1429.4,28890500
167,167,FUTSTK,JKCEMENT,25-Jul-2024,XX,4353.95,659875,-3625,4380.25,663500
168,168,FUTSTK,BAJFINANCE,25-Jul-2024,XX,6977.05,9216125,168125,7077.25,9048000
169,169,FUTSTK,TATASTEEL,25-Jul-2024,XX,169.55,229443500,-4218500,168.54,233662000
170,170,FUTSTK,EICHERMOT,25-Jul-2024,XX,4836.7,3119200,-34300,4855.6,3153500
171,171,FUTSTK,ICICIBANK,25-Jul-2024,XX,1243.0,59653300,-763700,1245.1,60417000
172,172,FUTSTK,GRASIM,25-Jul-2024,XX,2811.85,9856000,565750,2808.6,9290250
173,173,FUTSTK,JSWSTEEL,25-Jul-2024,XX,926.6,17747100,374625,927.2,17372475
174,174,FUTSTK,BIOCON,25-Jul-2024,XX,356.15,48247500,250000,359.4,47997500
175,175,FUTSTK,MRF,25-Jul-2024,XX,130579.1,64705,-290,131013.75,64995
176,176,FUTSTK,BAJAJFINSV,25-Jul-2024,XX,1590.4,12594000,5500,1586.5,12588500
177,177,FUTSTK,NAVINFLUOR,25-Jul-2024,XX,3656.9,1469650,-39550,3683.3,1509200
178,178,FUTSTK,ACC,25-Jul-2024,XX,2669.55,4763700,87600,2664.45,4676100
179,179,FUTIDX,NIFTY,25-Jul-2024,,24382.65,13634150,-433850,24355.05,14068000
180,180,FUTSTK,GMRINFRA,25-Jul-2024,XX,99.13,216978750,-1237500,98.03,218216250
181,181,FUTSTK,CUMMINSIND,25-Jul-2024,XX,3983.6,4149000,28800,4028.6,4120200
