,INSTRUMENT,SYMBOL,EXPIRY_DT,OPTION_TYP,CLOSE,OPEN_INT,CHG_IN_OI
143,FUTSTK,IDEA,25-Jul-2024,XX,16.74,3909040000,79120000
144,FUTSTK,LAURUSLABS,25-Jul-2024,XX,474.5,18378700,-547400
145,FUTSTK,ALKEM,25-Jul-2024,XX,5250.15,1333800,-300
146,FUTSTK,IDFC,25-Jul-2024,XX,116.35,104355000,-1100000
147,FUTSTK,TATASTEEL,25-Jul-2024,XX,168.54,233662000,11737000
148,FUTSTK,NAVINFLUOR,25-Jul-2024,XX,3683.3,1509200,-63175
149,FUTSTK,SUNPHARMA,25-Jul-2024,XX,1595.3,16790200,-645400
150,FUTSTK,SRF,25-Jul-2024,XX,2404.25,4773750,-48375
151,FUTSTK,AMBUJACEM,25-Jul-2024,XX,667.6,32882400,980100
152,FUTSTK,JKCEMENT,25-Jul-2024,XX,4380.25,663500,-67750
153,FUTSTK,GODREJCP,25-Jul-2024,XX,1443.3,5835500,244000
154,FUTSTK,INDUSINDBK,25-Jul-2024,XX,1429.4,28890500,-683000
155,FUTSTK,SIEMENS,25-Jul-2024,XX,7864.15,1757100,-24300
156,FUTSTK,SUNTV,25-Jul-2024,XX,782.9,5439000,-196500
157,FUTSTK,BHEL,25-Jul-2024,XX,329.0,75589500,-1428000
158,FUTSTK,COLPAL,25-Jul-2024,XX,3044.25,2766050,-121450
159,FUTSTK,BALKRISIND,25-Jul-2024,XX,3188.8,2098200,-118800
160,FUTSTK,EICHERMOT,25-Jul-2024,XX,4855.6,3153500,4900
161,FUTSTK,DABUR,25-Jul-2024,XX,631.8,17587500,-81250
162,FUTSTK,SBILIFE,25-Jul-2024,XX,1561.0,8524875,-424500
163,FUTSTK,ABCAPITAL,25-Jul-2024,XX,230.37,67273200,253800
164,FUTSTK,ADANIPORTS,25-Jul-2024,XX,1491.8,28286400,-235200
165,FUTSTK,ICICIGI,25-Jul-2024,XX,1880.9,4304500,-47000
166,FUTSTK,M&MFIN,25-Jul-2024,XX,295.4,37324000,-50000
167,FUTSTK,AXISBANK,25-Jul-2024,XX,1291.85,42118125,-505625
168,FUTSTK,CHOLAFIN,25-Jul-2024,XX,1421.05,8270000,36875
169,FUTSTK,PEL,25-Jul-2024,XX,910.15,14625000,-257250
170,FUTSTK,JUBLFOOD,25-Jul-2024,XX,578.25,19621250,-141250
171,FUTSTK,MARUTI,25-Jul-2024,XX,12797.75,3022300,-116150
172,FUTSTK,GRASIM,25-Jul-2024,XX,2808.6,9290250,88000
173,FUTSTK,AUBANK,25-Jul-2024,XX,631.15,26129000,-688000
174,FUTSTK,ONGC,25-Jul-2024,XX,299.0,84544075,-2123275
175,FUTSTK,ATUL,25-Jul-2024,XX,6822.5,885200,14900
176,FUTSTK,GMRINFRA,25-Jul-2024,XX,98.03,218216250,-2362500
177,FUTSTK,INFY,25-Jul-2024,XX,1649.2,50640400,2089600
178,FUTSTK,CUMMINSIND,25-Jul-2024,XX,4028.6,4120200,-45900
179,FUTIDX,NIFTY,25-Jul-2024,,24355.05,14068000,-405150
180,FUTSTK,CROMPTON,25-Jul-2024,XX,425.0,23574600,28800
181,FUTSTK,ITC,25-Jul-2024,XX,452.6,110841600,484800
