INSTRUMENT,SYMBOL,EXPIRY_DT,OPTION_TYP,CLOSE,CLOSE_prev,PRICE_CHANGE,PRICE_CHANGE_PCT,OPEN_INT,OPEN_INT_prev,CHG_IN_OI,OI_CHANGE_PCT,OI_PATTERN
FUTSTK,INDIAMART,30-Jan-2025,,2262.65,2317.15,-54.5,-2.3520272748850957,1121700,1106700,15000,1.3553808620222283,Short Build-up
FUTSTK,TATACHEM,30-Jan-2025,,1032.6,1038.9,-6.300000000000182,-0.6064106266243317,7932650,7805600,127050,1.6276775648252535,Short Build-up
FUTSTK,CUB,30-Jan-2025,,175.9,176.77,-0.8700000000000045,-0.4921649601176695,28515000,28725000,-210000,-0.7310704960835509,Long Unwinding
FUTSTK,ZYDUSLIFE,30-Jan-2025,,981.5,997.6,-16.100000000000023,-1.6138732959101867,11412000,11423700,-11700,-0.10241865595209958,Long Unwinding
FUTSTK,UPL,30-Jan-2025,,532.15,512.85,19.299999999999955,3.7632836111923473,27930615,28556625,-626010,-2.192170818505338,Short Covering
FUTSTK,HFCL,30-Jan-2025,,114.55,115.34,-0.7900000000000063,-0.6849315068493205,36279300,35171250,1108050,3.1504424778761058,Short Build-up
FUTSTK,IDEA,30-Jan-2025,,8.31,8.19,0.120000000000001,1.4652014652014775,3204760000,3244800000,-40040000,-1.233974358974359,Short Covering
FUTSTK,DLF,30-Jan-2025,,832.95,840.1,-7.149999999999977,-0.8510891560528481,41300325,41272275,28050,0.06796329981809823,Short Build-up
FUTSTK,NTPC,30-Jan-2025,,341.85,339.6,2.25,0.6625441696113074,122554500,123031500,-477000,-0.38770558759342116,Short Covering
FUTSTK,LAURUSLABS,30-Jan-2025,,612.4,617.0,-4.600000000000023,-0.7455429497568918,22417900,21999700,418200,1.9009350127501738,Short Build-up
FUTIDX,FINNIFTY,30-Jan-2025,,23862.6,24110.2,-247.60000000000218,-1.026951248849044,46150,45625,525,1.1506849315068493,Short Build-up
FUTIDX,MIDCPNIFTY,30-Jan-2025,,13053.8,13152.9,-99.10000000000036,-0.7534460081046793,1939400,1934400,5000,0.2584780810587262,Short Build-up
