INSTRUMENT,SYMBOL,EXPIRY_DT,OPTION_TYP,CLOSE,OPEN_INT,CHG_IN_OI
FUTSTK,ADANIPORTS,30-Jan-2025,,1164.45,25990400,119600
FUTSTK,ACC,30-Jan-2025,,2013.85,3657600,-54300
FUTSTK,LICI,30-Jan-2025,,858.3,4848400,-66125
FUTSTK,HCLTECH,30-Jan-2025,,1790.35,16345350,-191800
FUTSTK,APOLLOHOSP,30-Jan-2025,,6832.0,1790500,-43125
FUTSTK,BATAINDIA,30-Jan-2025,,1307.15,2972250,3375
FUTSTK,ONGC,30-Jan-2025,,267.1,101861375,-1143450
FUTSTK,ATUL,30-Jan-2025,,6715.25,628100,11100
FUTSTK,CANBK,30-Jan-2025,,97.95,239618250,-4299750
FUTSTK,DRREDDY,30-Jan-2025,,1308.5,12735625,-175000
FUTSTK,SUNPHARMA,30-Jan-2025,,1787.25,15524950,-154000
FUTSTK,CYIENT,30-Jan-2025,,1738.1,1214100,-29700
FUTSTK,TECHM,30-Jan-2025,,1663.5,13771200,946200
FUTSTK,TVSMOTOR,30-Jan-2025,,2306.1,10537800,-94850
FUTSTK,KEI,30-Jan-2025,,4096.9,532950,19800
FUTSTK,IRCTC,30-Jan-2025,,781.85,15223250,-158375
FUTSTK,BAJAJFINSV,30-Jan-2025,,1686.95,14043500,-190000
FUTSTK,COFORGE,30-Jan-2025,,8664.25,2097300,-2175
FUTSTK,MUTHOOTFIN,30-Jan-2025,,2156.25,2965325,-79750
FUTSTK,TATAPOWER,30-Jan-2025,,374.3,78416100,-1210950
FUTSTK,ULTRACEMCO,30-Jan-2025,,10604.2,2219150,-59750
FUTSTK,BAJFINANCE,30-Jan-2025,,7203.9,8860000,-65750
FUTSTK,TATACONSUM,30-Jan-2025,,957.0,13343472,-160056
FUTSTK,CGPOWER,30-Jan-2025,,648.7,6376375,-421950
FUTSTK,ASTRAL,30-Jan-2025,,1507.15,5308288,53949
FUTSTK,ICICIBANK,30-Jan-2025,,1229.65,80343900,17500
FUTSTK,DMART,30-Jan-2025,,3631.5,3728550,-2250
FUTSTK,CAMS,30-Jan-2025,,4405.45,750750,25375
FUTSTK,M&MFIN,30-Jan-2025,,269.25,30438000,162000
FUTSTK,BANDHANBNK,30-Jan-2025,,151.77,87049200,-714000
FUTSTK,AMBUJACEM,30-Jan-2025,,536.95,34614000,-299700
FUTSTK,EICHERMOT,30-Jan-2025,,5022.9,3592925,-53725
FUTSTK,SUPREMEIND,30-Jan-2025,,4205.35,797250,83625
FUTSTK,SRF,30-Jan-2025,,2614.8,5046750,50625
FUTSTK,RECLTD,30-Jan-2025,,483.8,49056000,-592000
FUTSTK,AXISBANK,30-Jan-2025,,994.4,80712500,451875
FUTSTK,JSL,30-Jan-2025,,636.35,2851225,-82925
FUTSTK,GRASIM,30-Jan-2025,,2376.8,12057000,-2750
FUTSTK,MRF,30-Jan-2025,,114084.5,61485,-540
FUTSTK,MAXHEALTH,30-Jan-2025,,1029.45,6379800,285075
FUTSTK,HDFCAMC,30-Jan-2025,,4033.3,2994600,9600
FUTSTK,GODREJCP,30-Jan-2025,,1188.5,11801000,-1075500
FUTIDX,MIDCPNIFTY,30-Jan-2025,,12245.15,2450500,131000
FUTIDX,NIFTYNXT50,30-Jan-2025,,65270.7,20940,340
FUTIDX,BANKNIFTY,30-Jan-2025,,48685.65,2428485,48690
FUTSTK,JSWENERGY,30-Jan-2025,,569.2,10736250,-333750
FUTSTK,CUMMINSIND,30-Jan-2025,,2936.3,3926250,750
FUTSTK,PRESTIGE,30-Jan-2025,,1472.15,2863250,-5850
